,itemId,color,guarantee,memory,name,price,ram,site
0,bd4f3f32e70dae9b3dc17d3d7277d6b34cdde5fe, Bleu , Garantie 1 An, 8 Go  , Z7 ,259.0, 1 Go ,jumia
1,c0f0a1d70e3f5f805970366f5bf0d29d361fa47c, Noir , Garantie 1 An, 4 Go , V5 Nano ,148.0, 512 Mo ,jumia
2,95c809d493d3657ef06b115fe1e33d3ae1f1df52, Gris, Garantie 1 an, 8 Go , V5 ,187.0, 1 Go ,jumia
3,3494134f92986843aa5bae14cce7bfa0678c954a, Bleu , Garantie 1 An,  8 Go , 2.1 ,359.0, 1 Go ,jumia
4,b93a0d88ea7b183e7b38e99c26a1bc5ae8fa85f7, Lavender , Garantie 1 An, 8 Go , J2 Core ,309.0, 1 Go ,jumia
5,b5cdebe005bc9def7f5f49d0bfd198c3e92be833,, Garantie 1 An, 16 Go  , M11  Grayblue ,439.0, 2 Go ,jumia
6,a17d2f3ebf634f7e1b5872c5121b11180d92ecac, Bleu , Garantie 1 An, 64 Go , A7 ,645.0, 3 Go ,jumia
7,d1268a8de75bb2b4e208d99df0e59221bdf332eb, Brun ambré , Garantie 1 an, 32 Go , Y6 Prime 2019 ,449.0, 2 Go ,jumia
8,81bff5bb864f08a629f37eae4247eb535115d708, Rouge , Garantie 1 an, 32 Go , Galaxy J6 Plus ,599.0, RAM 3 Go ,jumia
9,30808fc7dfb59d0a346e991c7d000a8d27f891bc, Black , Garantie 1 An, 8 Go , V4+ ,219.0, 1 Go ,jumia
10,0d36c4053a4a7329353f4cc3bf5268f7ce0e6f49, Noir , Garantie 1 an, 16 Go , 3.1 ,489.0, 2 Go ,jumia
11,55f4de7ab2d4a810758d027167156d4278e26d94, Bleu , Garantie 1 An, 128 Go , P30 Lite ,899.0, 4 Go ,jumia
12,53023ac767fade77031f2905747111c1b7d7af7b, Noir , Garantie 1 an, 64 Go, Galaxy A30 ,829.0, 4 GB ,jumia
13,b0f2acc17dcfcf0d6a3cd073afb1557a8292394a, Noir , Garantie 1 An,  16 GO , Y8 ,430.0,  3 Go ,jumia
14,da6a9c144717891fb32c42c506865f0d6205c6de, Gold , Garantie 1An, 4Go , Z6 Mini ,125.0, 512Mo ,jumia
15,e47dc71dea7c93570ada914b432e28887da44aef, Noir , Garantie 1 an, 128 Go , Galaxy A7 2018 ,1350.0,  4 Go ,jumia
16,69499d2c1b148ede484f31179bf9c41444d06ab0, Noir , Garantie 1 An, 128 Go , Galaxy A70 ,1559.0,  6 Go ,jumia
17,90d50e1f328bce0598effb3f9d23bbef8e86e198, Noir , Garantie 1 An, 4 Go , V5 Nano ,138.0, 512 Mo ,jumia
18,097b0d33d01944076534bdf17911e1e03999bf78, Gold , Garantie 1 An, 16 Go , Apex ,245.0, 1 Go ,jumia
19,ffa6c7cfea61b43983d29f9162b07ec739aaf8f4, Rouge , Garantie 1 An, 16 Go , Apex ,245.0, 1 Go ,jumia
20,0a3973debfab4c97c591a21b9eeef7e40673cf6c, Rouge , Garantie 1 An, 32 Go , Galaxy A10 ,479.0, 2 Go ,jumia
21,c7222a379c71a881d985e7d4bcdc9ffd473e32ac, Brun ambré , Garantie 1 An, 32 Go , Y6 Prime 2019 ,509.0, 2 Go ,jumia
22,05c2d92c6477faa8e82113e0deeb257c82e1869f, Rouge , Garantie 1 an, 32 Go , Hot 7 Pro ,529.0, 3 Go ,jumia
