,_id,_index,_score,_type,description,href,image,price,site,title,name,ram,memory,color,guarantee
0,bd4f3f32e70dae9b3dc17d3d7277d6b34cdde5fe,scrapy,0,items,"[""Z7 - 5'' - 1 Go - 8 Go  - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/leagoo-z7-5-1-go-8-go-bleu-garantie-1-an-106044.html""]","[""https://tn.jumia.is/WwQTv9GALqrMAxQCdLqujVAt1KY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/0601/1.jpg?8391""]","[""259 ""]",jumia,"[""Z7 - 5'' - 1 Go - 8 Go  - Bleu - Garantie 1 An""]","[""Z7 ", 1 Go , 8 Go  , Bleu ," Garantie 1 An""]"
1,c0f0a1d70e3f5f805970366f5bf0d29d361fa47c,scrapy,0,items,"[""V5 Nano - 4.0\"" - 512 Mo - 4 Go - Double Sim - Noir - Garantie 1 An""]","[""https://www.jumia.com.tn/evertek-v5-nano-4.0-512-mo-4-go-double-sim-noir-garantie-1-an-150652.html""]","[""https://tn.jumia.is/Xw-P_GjnD61VTdIhfOCvvsyYOzE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/25/6051/1.jpg?0323""]","[""148 ""]",jumia,"[""V5 Nano - 4.0\"" - 512 Mo - 4 Go - Double Sim - Noir - Garantie 1 An""]","[""V5 Nano ", 512 Mo , 4 Go , Noir ," Garantie 1 An""]"
2,95c809d493d3657ef06b115fe1e33d3ae1f1df52,scrapy,0,items,"[""V5 - 4.95\"" - 1 Go - 8 Go - Gris- Garantie 1 an""]","[""https://www.jumia.com.tn/v5-4.95-1-go-8-go-blanc-garantie-1-an-evertek-mpg1979.html""]","[""https://tn.jumia.is/aqIzXQqnUuhu3Hv3OGOOWkZ9Jb4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/01/6051/1.jpg?0518""]","[""187 ""]",jumia,"[""V5 - 4.95\"" - 1 Go - 8 Go - Gris- Garantie 1 an""]","[""V5 ", 1 Go , 8 Go , Gris," Garantie 1 an""]"
3,3494134f92986843aa5bae14cce7bfa0678c954a,scrapy,0,items,"[""2.1 - 5.5\"" - 1 Go -  8 Go - 4G - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/nokia-2.1-5.5-1-go-8-go-4g-bleu-garantie-1-an-142431.html""]","[""https://tn.jumia.is/_eGVU3SKuMiURv3vy3B8-h1V4Jg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/13/4241/1.jpg?3745""]","[""359 ""]",jumia,"[""2.1 - 5.5\"" - 1 Go -  8 Go - 4G - Bleu - Garantie 1 An""]","[""2.1 ", 1 Go ,  8 Go , Bleu ," Garantie 1 An""]"
4,b93a0d88ea7b183e7b38e99c26a1bc5ae8fa85f7,scrapy,0,items,"[""J2 Core - 5\"" - 1 Go - 8 Go - Lavender - Garantie 1 An""]","[""https://www.jumia.com.tn/j2-core-5-1-go-8-go-lavender-garantie-1-an-samsung-mpg3366.html""]","[""https://tn.jumia.is/Mi-XpueBi16N250eZ-46GN4N5NQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/99/0161/1.jpg?8886""]","[""309 ""]",jumia,"[""J2 Core - 5\"" - 1 Go - 8 Go - Lavender - Garantie 1 An""]","[""J2 Core ", 1 Go , 8 Go , Lavender ," Garantie 1 An""]"
5,b5cdebe005bc9def7f5f49d0bfd198c3e92be833,scrapy,0,items,"[""M11  Grayblue - 6,18'' - 2 Go - 16 Go  - Garantie 1 An""]","[""https://www.jumia.com.tn/leagoo-m11-grayblue-618-2-go-16-go-garantie-1-an-132386.html""]","[""https://tn.jumia.is/JUvNwYaIehoIHYOFbikwJrUlpJU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/68/3231/1.jpg?9885""]","[""439 ""]",jumia,"[""M11  Grayblue - 6,18'' - 2 Go - 16 Go  - Garantie 1 An""]","[""M11  Grayblue ", 2 Go , 16 Go  ,," Garantie 1 An""]"
6,a17d2f3ebf634f7e1b5872c5121b11180d92ecac,scrapy,0,items,"[""A7 - 6.2\"" - 3 Go - 64 Go - Bleu - Garantie 1 An""]","[""https://www.jumia.com.tn/a7-6.2-3-go-64-go-bleu-garantie-1-an-oppo-mpg2251.html""]","[""https://tn.jumia.is/BXlOruXSJneP2xfenLijejMWw8w=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/02/8341/1.jpg?9483""]","[""645 ""]",jumia,"[""A7 - 6.2\"" - 3 Go - 64 Go - Bleu - Garantie 1 An""]","[""A7 ", 3 Go , 64 Go , Bleu ," Garantie 1 An""]"
7,d1268a8de75bb2b4e208d99df0e59221bdf332eb,scrapy,0,items,"[""Y6 Prime 2019 - 6.09\"" - 2 Go - 32 Go - Brun ambré - Garantie 1 an""]","[""https://www.jumia.com.tn/y6-prime-2019-6.09-2-go-32-go-brune-ambre-garantie-1-an-huawei-mpg2541.html""]","[""https://tn.jumia.is/GLXia3rgUSf3YBVfg4D_7eBN8Vw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/85/7641/1.jpg?1906""]","[""449 ""]",jumia,"[""Y6 Prime 2019 - 6.09\"" - 2 Go - 32 Go - Brun ambré - Garantie 1 an""]","[""Y6 Prime 2019 ", 2 Go , 32 Go , Brun ambré ," Garantie 1 an""]"
8,81bff5bb864f08a629f37eae4247eb535115d708,scrapy,0,items,"[""Galaxy J6 Plus - RAM 3 Go - 32 Go - Rouge - Garantie 1 an""]","[""https://www.jumia.com.tn/samsung-galaxy-j6-plus-ram-3-go-32-go-rouge-garantie-1-an-156371.html""]","[""https://tn.jumia.is/IHhpKPO3I1KO_Jl86nrcGXbhmAM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/17/3651/1.jpg?4266""]","[""599 ""]",jumia,"[""Galaxy J6 Plus - RAM 3 Go - 32 Go - Rouge - Garantie 1 an""]","[""Galaxy J6 Plus ", RAM 3 Go , 32 Go , Rouge ," Garantie 1 an""]"
9,30808fc7dfb59d0a346e991c7d000a8d27f891bc,scrapy,0,items,"[""V4+ -  5\"" - 1 Go - 8 Go -  4G - Black - Garantie 1 An""]","[""https://www.jumia.com.tn/evertek-v4-5-1-go-8-go-4g-black-garantie-1-an-144703.html""]","[""https://tn.jumia.is/TXdyKHBfBvn1k2KgbFpLwFI5VOQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/7441/1.jpg?5944""]","[""219 ""]",jumia,"[""V4+ -  5\"" - 1 Go - 8 Go -  4G - Black - Garantie 1 An""]","[""V4+ ", 1 Go , 8 Go , Black ," Garantie 1 An""]"
